cust_id_in,cust_id_out,trx_amount,trx_bankid,trx_clearinnum,trx_country,trx_date,trx_id,trx_type
169,397,69.50684196648673,7988236,6417,ESTONIA,1992-12-28,0,SWISH
94,496,1560.577013730472,3934900,8601,LATVIA,1976-12-22,1,SWISH
459,49,523.5258060022346,2091286,2194,SWEDEN,2011-05-12,2,INTERNATIONAL
197,185,645.4064391935216,8931714,4976,RUSSIA,1995-11-15,3,SWISH
467,60,73.56774162728976,9475654,9922,ROMANIA,2009-08-29,4,DOMESTIC
441,152,1054.9197913043572,369255,9700,SWEDEN,1995-01-25,5,ATM
224,468,473.42434725471503,9476209,5363,RUSSIA,1995-11-20,6,ATM
82,327,330.3897228444309,1795259,1528,RUSSIA,1999-11-02,7,ATM
301,375,1648.3466062364032,9617168,1513,ROMANIA,1972-02-16,8,INTERNATIONAL
104,359,128.43880499683263,1750905,1536,LATVIA,1995-04-20,9,ATM
2,409,26.73279252698471,8295157,5545,SWEDEN,1970-08-20,10,ATM
361,240,1058.0496001463002,4690414,2424,LATVIA,2009-11-07,11,INTERNATIONAL
112,249,553.8049832881615,8290280,9135,ROMANIA,2006-06-08,12,INTERNATIONAL
327,191,619.836757421802,4906468,5110,ROMANIA,1974-09-02,13,INTERNATIONAL
263,441,1066.8283469285047,6132816,9203,NORWAY,1997-06-30,14,INTERNATIONAL
47,422,1279.721813159233,8271359,4037,LATVIA,1995-07-12,15,ATM
249,257,841.7302556381732,6394065,2826,RUSSIA,2012-10-24,16,ATM
223,279,56.138442373008964,2809491,3336,ESTONIA,1981-03-10,17,DOMESTIC
11,365,779.0120248122861,5993249,7927,FINLAND,1992-10-08,18,SWISH
229,365,583.8148881378823,2197339,2459,LATVIA,1999-06-24,19,ATM
130,109,1797.2698671947987,8422432,6266,SWEDEN,2012-03-18,20,SWISH
493,431,299.6955881272147,5779431,4438,ROMANIA,2002-07-29,21,SWISH
242,42,422.1186943607353,146250,5787,UK,2016-09-17,22,SWISH
154,74,71.59854522582395,5387049,4954,UK,1982-09-21,23,ATM
5,417,2428.3842996228245,8969228,4590,NORWAY,2012-06-29,24,DOMESTIC
203,472,324.32267553077793,64255,7203,ROMANIA,1996-08-01,25,INTERNATIONAL
409,64,1894.75159226789,9283314,2476,NORWAY,1990-08-29,26,DOMESTIC
455,166,768.8775208403448,8197581,5740,ESTONIA,1970-12-17,27,DOMESTIC
84,423,6.885522718707899,3027600,8204,ESTONIA,1974-06-27,28,SWISH
341,245,729.7220879068472,1285160,5048,NORWAY,1994-08-07,29,INTERNATIONAL
235,135,709.5908974493693,9637846,1336,SWEDEN,1991-08-18,30,ATM
271,326,589.9423635326943,394162,3589,RUSSIA,2000-07-27,31,SWISH
223,261,952.1192291688224,6185246,1807,UK,1994-06-04,32,INTERNATIONAL
472,90,115.52829307383467,4464501,3181,ROMANIA,2012-10-17,33,ATM
319,246,1013.243698598949,1807262,6886,RUSSIA,2006-12-11,34,ATM
242,369,127.45555952291177,9035767,3659,FINLAND,2002-03-06,35,ATM
41,495,1332.7027501849977,6647966,1790,ROMANIA,2012-05-17,36,ATM
199,218,1193.5602145953746,9938048,2610,FINLAND,1984-11-11,37,ATM
48,246,1672.7895818973548,8574594,1418,FINLAND,1972-06-20,38,INTERNATIONAL
308,455,1454.9327067996894,9036922,1984,SWEDEN,1972-10-06,39,ATM
93,59,1135.5186535989371,274691,5162,ESTONIA,1997-05-02,40,ATM
244,484,797.4555541544461,64758,7920,FINLAND,1998-01-14,41,INTERNATIONAL
254,13,346.47628464053963,5990942,8682,NORWAY,2013-07-07,42,SWISH
16,317,1618.5744249179488,2393200,1515,SWEDEN,2002-10-01,43,DOMESTIC
176,199,274.8750644892602,9748601,9650,ESTONIA,1974-11-12,44,INTERNATIONAL
188,256,231.80560002349998,6444203,3683,FINLAND,1986-06-23,45,SWISH
123,178,539.5653013549226,8692858,9513,ROMANIA,2015-07-17,46,ATM
372,408,704.6293948439744,9356342,3737,FINLAND,2012-06-10,47,ATM
495,190,861.0257209957373,7715349,2951,LATVIA,2016-01-20,48,INTERNATIONAL
70,229,894.5282211605826,8709718,1000,ESTONIA,2017-10-20,49,INTERNATIONAL
200,494,1008.2984357413019,9634826,5292,ESTONIA,2018-06-08,50,DOMESTIC
150,258,533.7804365756242,1432794,1605,RUSSIA,2003-01-08,51,INTERNATIONAL
153,465,599.3290093080282,7705985,3231,RUSSIA,2017-01-31,52,SWISH
495,1,643.7373375215017,3445854,6750,NORWAY,1994-07-10,53,DOMESTIC
301,388,344.20828569326306,3517154,8289,NORWAY,2015-10-28,54,ATM
308,453,758.3636142429325,5799992,9749,ESTONIA,1988-10-29,55,ATM
155,344,1216.0904634176534,6502316,3378,UK,1990-05-14,56,DOMESTIC
126,418,569.5830548847161,2999888,7211,RUSSIA,2003-01-28,57,DOMESTIC
227,327,1143.258843594477,2148270,3983,ESTONIA,2005-10-08,58,ATM
3,111,543.1141168086489,5807277,2388,UK,2003-01-08,59,ATM
379,330,1679.4239179625138,6754104,3392,NORWAY,1978-05-21,60,INTERNATIONAL
270,470,390.82654911691907,2260783,8500,ROMANIA,1980-04-18,61,INTERNATIONAL
424,112,211.14032903956212,7829369,2467,RUSSIA,1999-04-12,62,DOMESTIC
189,493,2715.6107603577084,9076643,6775,RUSSIA,2003-08-24,63,INTERNATIONAL
150,94,1197.3790002304659,7532512,4737,UK,2008-04-15,64,SWISH
322,367,2048.1181410747686,7353962,2559,ROMANIA,1988-02-24,65,SWISH
239,413,1110.5203878127804,5979710,7772,RUSSIA,1998-04-04,66,SWISH
292,251,173.92112915845672,3080792,1925,UK,2003-02-27,67,SWISH
132,199,223.83297765717603,1077259,2607,ROMANIA,2018-05-06,68,INTERNATIONAL
8,336,333.34457149598245,9698139,5972,LATVIA,1980-11-28,69,ATM
473,325,246.36011724977342,1468215,8431,UK,1995-09-17,70,DOMESTIC
55,441,856.3526733342845,1918582,1090,FINLAND,2013-08-16,71,SWISH
43,157,469.5983160954853,97675,1570,SWEDEN,2002-01-08,72,INTERNATIONAL
394,305,1107.6496992723567,7737151,5257,FINLAND,1977-11-29,73,SWISH
43,129,1082.9758711587729,6004683,4773,FINLAND,2016-01-28,74,INTERNATIONAL
457,85,534.7060952483068,5134687,4472,FINLAND,2003-06-03,75,DOMESTIC
428,228,1335.5588969716848,8602911,4481,RUSSIA,2009-08-17,76,DOMESTIC
449,307,728.6154597613067,7381477,6930,ROMANIA,2009-08-30,77,SWISH
82,425,1042.8664231497667,4078092,2626,SWEDEN,2002-03-20,78,DOMESTIC
166,122,1294.8832356983214,127527,8281,ROMANIA,1974-06-16,79,DOMESTIC
155,222,1965.9302680730143,2297912,6377,NORWAY,1975-09-16,80,INTERNATIONAL
94,109,192.17708096597053,3802889,3099,ESTONIA,1974-07-25,81,ATM
294,349,1951.5658145817602,782176,1953,NORWAY,1974-03-28,82,ATM
245,206,390.0538925578499,4890916,9888,UK,1982-02-24,83,INTERNATIONAL
231,319,1770.0913850091222,6082421,8763,LATVIA,1976-11-04,84,ATM
159,37,1574.5666921912116,2417814,1650,NORWAY,2007-04-04,85,DOMESTIC
363,482,1718.1177065071695,979620,1069,ROMANIA,1997-02-08,86,ATM
374,110,1041.3714344640418,2248649,8620,ROMANIA,1998-12-13,87,INTERNATIONAL
108,71,816.3641238215674,1480768,5811,FINLAND,1985-07-19,88,SWISH
155,374,470.2415940151634,5534352,2402,SWEDEN,1993-08-11,89,ATM
151,182,642.4887369785002,1729736,4939,RUSSIA,1992-08-28,90,DOMESTIC
375,332,363.06645386029646,1652943,6851,UK,2001-12-18,91,SWISH
60,312,436.6348943511982,777487,4661,LATVIA,1994-12-09,92,INTERNATIONAL
120,445,1405.3583613705775,7864655,7963,ESTONIA,1985-08-16,93,INTERNATIONAL
90,288,1426.2050842883675,813122,4595,SWEDEN,1977-08-18,94,INTERNATIONAL
211,70,1255.914383406542,8766877,4750,FINLAND,2002-06-26,95,SWISH
194,379,626.8408963188879,8758468,9432,FINLAND,2013-07-11,96,SWISH
444,412,1293.7538269518282,2779620,2220,UK,1983-01-25,97,SWISH
21,419,95.15692439462755,2557673,4765,ESTONIA,1982-01-02,98,DOMESTIC
38,55,273.98302814390104,4992393,9063,ROMANIA,1976-05-19,99,SWISH
306,343,239.38543801230458,4473309,4456,SWEDEN,1991-10-14,100,INTERNATIONAL
48,398,1854.1637201627245,5727365,6927,RUSSIA,1975-09-02,101,SWISH
