action,address,cust_id,time_spent_seconds,web_id
browse,10.208.131.79,279,772,0
browse,192.170.227.152,150,500,1
update_profile,192.159.46.227,140,145,2
update_profile,198.243.53.201,491,886,3
transactions,10.208.131.79,307,899,4
browse,95.223.162.76,32,350,5
request_loan,200.88.167.56,259,824,6
update_profile,121.226.166.246,218,767,7
create_account,192.88.98.49,370,98,8
request_loan,192.159.46.227,266,940,9
transactions,192.52.249.197,109,822,10
transactions,192.75.40.178,151,240,11
transactions,192.0.5.131,386,149,12
create_account,192.170.227.152,484,956,13
request_loan,198.48.161.203,83,933,14
create_account,192.88.112.4,334,784,15
browse,192.52.197.103,46,340,16
request_loan,192.5.169.21,306,897,17
create_account,203.0.112.18,131,309,18
browse,192.52.216.15,445,876,19
request_loan,10.208.131.79,217,942,20
transactions,192.159.46.227,132,306,21
browse,198.230.203.64,44,487,22
create_account,192.52.249.197,428,697,23
browse,10.208.131.79,366,724,24
create_account,198.230.203.64,316,918,25
create_account,198.48.161.203,314,644,26
update_profile,192.175.50.15,486,808,27
browse,198.214.109.152,396,830,28
transactions,192.40.250.219,475,688,29
transactions,192.0.5.131,411,250,30
request_loan,1.131.122.57,386,805,31
transactions,192.159.46.227,293,36,32
browse,95.223.162.76,353,333,33
transactions,95.223.162.76,30,80,34
request_loan,198.230.203.64,322,372,35
request_loan,192.88.112.4,230,213,36
update_profile,198.48.161.203,259,594,37
update_profile,192.52.197.103,205,68,38
update_profile,192.52.242.244,137,233,39
transactions,192.22.74.9,262,492,40
browse,192.52.249.197,47,696,41
create_account,198.51.102.239,3,756,42
update_profile,192.52.249.197,260,838,43
update_profile,198.243.53.201,49,96,44
browse,121.226.166.246,60,164,45
create_account,192.80.65.1,39,949,46
update_profile,198.10.52.120,340,475,47
create_account,192.67.93.145,406,665,48
request_loan,192.22.74.9,12,416,49
update_profile,192.75.245.197,117,202,50
request_loan,203.0.112.18,287,371,51
request_loan,121.226.166.246,302,972,52
create_account,203.0.102.115,151,365,53
create_account,192.156.222.222,492,611,54
request_loan,198.10.52.120,360,768,55
request_loan,203.126.82.74,136,353,56
request_loan,198.50.57.194,72,814,57
browse,205.8.216.46,445,792,58
create_account,192.75.245.197,360,275,59
browse,192.52.216.15,71,494,60
create_account,203.0.93.54,210,991,61
create_account,192.159.46.227,380,739,62
create_account,198.50.57.194,312,214,63
browse,95.223.162.76,381,478,64
create_account,198.51.101.192,102,725,65
browse,192.31.197.149,329,640,66
create_account,192.75.40.178,69,642,67
update_profile,192.52.220.27,420,447,68
browse,192.53.25.41,71,317,69
transactions,198.10.52.120,290,190,70
transactions,192.5.169.21,212,725,71
request_loan,95.223.162.76,170,657,72
request_loan,192.67.93.145,256,952,73
update_profile,198.10.52.120,138,696,74
request_loan,192.175.50.15,203,289,75
browse,203.0.102.115,104,144,76
browse,192.75.40.178,47,71,77
update_profile,200.88.167.56,167,94,78
browse,192.170.227.152,204,941,79
transactions,192.175.50.15,64,145,80
create_account,192.170.227.152,164,473,81
request_loan,97.203.187.254,447,999,82
browse,192.159.46.227,187,200,83
request_loan,198.10.52.120,178,937,84
create_account,198.10.52.120,292,30,85
update_profile,203.0.112.18,369,547,86
create_account,192.31.197.149,493,55,87
request_loan,192.88.112.4,392,255,88
browse,198.214.109.152,406,407,89
browse,198.51.102.239,133,86,90
create_account,203.0.102.115,60,767,91
update_profile,198.48.161.203,456,870,92
